fng_date,fng_value,fng_classification
7/9/2022,24,Extreme Fear
6/9/2022,22,Extreme Fear
5/9/2022,23,Extreme Fear
4/9/2022,20,Extreme Fear
3/9/2022,21,Extreme Fear
2/9/2022,25,Extreme Fear
1/9/2022,20,Extreme Fear
31/8/2022,23,Extreme Fear
30/8/2022,27,Fear
29/8/2022,24,Extreme Fear
28/8/2022,28,Fear
27/8/2022,28,Fear
26/8/2022,27,Fear
25/8/2022,25,Extreme Fear
24/8/2022,25,Extreme Fear
23/8/2022,28,Fear
22/8/2022,29,Fear
21/8/2022,27,Fear
20/8/2022,29,Fear
19/8/2022,33,Fear
18/8/2022,30,Fear
17/8/2022,41,Fear
16/8/2022,44,Fear
15/8/2022,45,Fear
14/8/2022,47,Neutral
13/8/2022,46,Fear
12/8/2022,42,Fear
11/8/2022,41,Fear
10/8/2022,31,Fear
9/8/2022,42,Fear
8/8/2022,30,Fear
7/8/2022,30,Fear
6/8/2022,31,Fear
5/8/2022,31,Fear
4/8/2022,30,Fear
3/8/2022,34,Fear
2/8/2022,31,Fear
1/8/2022,33,Fear
31/7/2022,39,Fear
30/7/2022,42,Fear
29/7/2022,39,Fear
28/7/2022,32,Fear
27/7/2022,28,Fear
26/7/2022,26,Fear
25/7/2022,30,Fear
24/7/2022,30,Fear
23/7/2022,31,Fear
22/7/2022,33,Fear
21/7/2022,34,Fear
20/7/2022,31,Fear
19/7/2022,30,Fear
18/7/2022,20,Extreme Fear
17/7/2022,24,Extreme Fear
16/7/2022,21,Extreme Fear
15/7/2022,15,Extreme Fear
14/7/2022,18,Extreme Fear
13/7/2022,15,Extreme Fear
12/7/2022,16,Extreme Fear
11/7/2022,22,Extreme Fear
10/7/2022,24,Extreme Fear
9/7/2022,24,Extreme Fear
8/7/2022,20,Extreme Fear
7/7/2022,18,Extreme Fear
6/7/2022,18,Extreme Fear
5/7/2022,19,Extreme Fear
4/7/2022,14,Extreme Fear
3/7/2022,11,Extreme Fear
2/7/2022,14,Extreme Fear
1/7/2022,11,Extreme Fear
30/6/2022,11,Extreme Fear
29/6/2022,13,Extreme Fear
28/6/2022,10,Extreme Fear
27/6/2022,12,Extreme Fear
26/6/2022,14,Extreme Fear
25/6/2022,14,Extreme Fear
24/6/2022,11,Extreme Fear
23/6/2022,11,Extreme Fear
22/6/2022,11,Extreme Fear
21/6/2022,9,Extreme Fear
20/6/2022,9,Extreme Fear
19/6/2022,6,Extreme Fear
18/6/2022,6,Extreme Fear
17/6/2022,9,Extreme Fear
16/6/2022,7,Extreme Fear
15/6/2022,7,Extreme Fear
14/6/2022,8,Extreme Fear
13/6/2022,11,Extreme Fear
12/6/2022,14,Extreme Fear
11/6/2022,12,Extreme Fear
10/6/2022,13,Extreme Fear
9/6/2022,11,Extreme Fear
8/6/2022,17,Extreme Fear
7/6/2022,15,Extreme Fear
6/6/2022,13,Extreme Fear
5/6/2022,10,Extreme Fear
4/6/2022,14,Extreme Fear
3/6/2022,10,Extreme Fear
2/6/2022,13,Extreme Fear
1/6/2022,17,Extreme Fear
31/5/2022,16,Extreme Fear
30/5/2022,10,Extreme Fear
29/5/2022,14,Extreme Fear
28/5/2022,13,Extreme Fear
27/5/2022,12,Extreme Fear
26/5/2022,12,Extreme Fear
25/5/2022,11,Extreme Fear
24/5/2022,12,Extreme Fear
23/5/2022,10,Extreme Fear
22/5/2022,14,Extreme Fear
21/5/2022,13,Extreme Fear
20/5/2022,13,Extreme Fear
19/5/2022,13,Extreme Fear
18/5/2022,12,Extreme Fear
17/5/2022,8,Extreme Fear
16/5/2022,14,Extreme Fear
15/5/2022,10,Extreme Fear
14/5/2022,9,Extreme Fear
13/5/2022,10,Extreme Fear
12/5/2022,12,Extreme Fear
11/5/2022,12,Extreme Fear
10/5/2022,10,Extreme Fear
9/5/2022,11,Extreme Fear
8/5/2022,18,Extreme Fear
7/5/2022,23,Extreme Fear
6/5/2022,22,Extreme Fear
5/5/2022,27,Fear
4/5/2022,21,Extreme Fear
3/5/2022,27,Fear
2/5/2022,28,Fear
1/5/2022,22,Extreme Fear
30/4/2022,20,Extreme Fear
29/4/2022,23,Extreme Fear
28/4/2022,24,Extreme Fear
27/4/2022,21,Extreme Fear
26/4/2022,27,Fear
25/4/2022,23,Extreme Fear
24/4/2022,24,Extreme Fear
23/4/2022,24,Extreme Fear
22/4/2022,26,Fear
21/4/2022,27,Fear
20/4/2022,27,Fear
19/4/2022,27,Fear
18/4/2022,24,Extreme Fear
17/4/2022,28,Fear
16/4/2022,28,Fear
15/4/2022,22,Extreme Fear
14/4/2022,28,Fear
13/4/2022,25,Extreme Fear
12/4/2022,20,Extreme Fear
11/4/2022,32,Fear
10/4/2022,34,Fear
9/4/2022,30,Fear
8/4/2022,37,Fear
7/4/2022,34,Fear
6/4/2022,48,Neutral
5/4/2022,53,Neutral
4/4/2022,52,Neutral
3/4/2022,48,Neutral
2/4/2022,52,Neutral
1/4/2022,50,Neutral
31/3/2022,52,Neutral
30/3/2022,55,Greed
29/3/2022,56,Greed
28/3/2022,60,Greed
27/3/2022,49,Neutral
26/3/2022,51,Neutral
25/3/2022,47,Neutral
24/3/2022,40,Fear
23/3/2022,31,Fear
22/3/2022,26,Fear
21/3/2022,30,Fear
20/3/2022,31,Fear
19/3/2022,28,Fear
18/3/2022,25,Extreme Fear
17/3/2022,27,Fear
16/3/2022,24,Extreme Fear
15/3/2022,21,Extreme Fear
14/3/2022,23,Extreme Fear
13/3/2022,21,Extreme Fear
12/3/2022,22,Extreme Fear
11/3/2022,22,Extreme Fear
10/3/2022,28,Fear
9/3/2022,22,Extreme Fear
8/3/2022,21,Extreme Fear
7/3/2022,23,Extreme Fear
6/3/2022,22,Extreme Fear
5/3/2022,22,Extreme Fear
4/3/2022,33,Fear
3/3/2022,39,Fear
2/3/2022,52,Neutral
1/3/2022,51,Neutral
28/2/2022,20,Extreme Fear
27/2/2022,26,Fear
26/2/2022,26,Fear
25/2/2022,27,Fear
24/2/2022,23,Extreme Fear
23/2/2022,25,Extreme Fear
22/2/2022,20,Extreme Fear
21/2/2022,25,Extreme Fear
20/2/2022,27,Fear
19/2/2022,25,Extreme Fear
18/2/2022,30,Fear
17/2/2022,52,Neutral
16/2/2022,51,Neutral
15/2/2022,46,Fear
14/2/2022,46,Fear
13/2/2022,44,Fear
12/2/2022,44,Fear
11/2/2022,50,Neutral
10/2/2022,50,Neutral
9/2/2022,54,Neutral
8/2/2022,48,Neutral
7/2/2022,45,Fear
6/2/2022,37,Fear
5/2/2022,33,Fear
4/2/2022,20,Extreme Fear
3/2/2022,20,Extreme Fear
2/2/2022,28,Fear
1/2/2022,26,Fear
31/1/2022,20,Extreme Fear
30/1/2022,29,Fear
29/1/2022,24,Extreme Fear
28/1/2022,24,Extreme Fear
27/1/2022,20,Extreme Fear
26/1/2022,23,Extreme Fear
25/1/2022,12,Extreme Fear
24/1/2022,13,Extreme Fear
23/1/2022,11,Extreme Fear
22/1/2022,13,Extreme Fear
21/1/2022,19,Extreme Fear
20/1/2022,24,Extreme Fear
19/1/2022,24,Extreme Fear
18/1/2022,24,Extreme Fear
17/1/2022,22,Extreme Fear
16/1/2022,21,Extreme Fear
15/1/2022,23,Extreme Fear
14/1/2022,21,Extreme Fear
13/1/2022,21,Extreme Fear
12/1/2022,22,Extreme Fear
11/1/2022,21,Extreme Fear
10/1/2022,23,Extreme Fear
9/1/2022,23,Extreme Fear
8/1/2022,10,Extreme Fear
7/1/2022,18,Extreme Fear
6/1/2022,15,Extreme Fear
5/1/2022,24,Extreme Fear
4/1/2022,23,Extreme Fear
3/1/2022,29,Fear
2/1/2022,29,Fear
1/1/2022,21,Extreme Fear
31/12/2021,28,Fear
30/12/2021,22,Extreme Fear
29/12/2021,27,Fear
28/12/2021,41,Fear
27/12/2021,40,Fear
26/12/2021,37,Fear
25/12/2021,39,Fear
24/12/2021,41,Fear
23/12/2021,34,Fear
22/12/2021,45,Fear
21/12/2021,27,Fear
20/12/2021,25,Extreme Fear
19/12/2021,29,Fear
18/12/2021,24,Extreme Fear
17/12/2021,23,Extreme Fear
16/12/2021,29,Fear
15/12/2021,28,Fear
14/12/2021,21,Extreme Fear
13/12/2021,28,Fear
12/12/2021,27,Fear
11/12/2021,16,Extreme Fear
10/12/2021,24,Extreme Fear
9/12/2021,29,Fear
8/12/2021,28,Fear
7/12/2021,25,Extreme Fear
6/12/2021,16,Extreme Fear
5/12/2021,18,Extreme Fear
4/12/2021,25,Extreme Fear
3/12/2021,31,Fear
2/12/2021,32,Fear
1/12/2021,34,Fear
30/11/2021,40,Fear
29/11/2021,33,Fear
28/11/2021,27,Fear
27/11/2021,21,Extreme Fear
26/11/2021,47,Neutral
25/11/2021,32,Fear
24/11/2021,42,Fear
23/11/2021,33,Fear
22/11/2021,50,Neutral
21/11/2021,49,Neutral
20/11/2021,43,Fear
19/11/2021,34,Fear
18/11/2021,54,Neutral
17/11/2021,52,Neutral
16/11/2021,71,Greed
15/11/2021,72,Greed
14/11/2021,74,Greed
13/11/2021,72,Greed
12/11/2021,74,Greed
11/11/2021,77,Extreme Greed
10/11/2021,75,Greed
9/11/2021,84,Extreme Greed
8/11/2021,75,Greed
7/11/2021,73,Greed
6/11/2021,71,Greed
5/11/2021,73,Greed
4/11/2021,73,Greed
3/11/2021,76,Extreme Greed
2/11/2021,73,Greed
1/11/2021,74,Greed
31/10/2021,74,Greed
30/10/2021,73,Greed
29/10/2021,70,Greed
28/10/2021,66,Greed
27/10/2021,73,Greed
26/10/2021,76,Extreme Greed
25/10/2021,72,Greed
24/10/2021,73,Greed
23/10/2021,74,Greed
22/10/2021,75,Greed
21/10/2021,84,Extreme Greed
20/10/2021,82,Extreme Greed
19/10/2021,75,Greed
18/10/2021,78,Extreme Greed
17/10/2021,79,Extreme Greed
16/10/2021,78,Extreme Greed
15/10/2021,71,Greed
14/10/2021,70,Greed
13/10/2021,70,Greed
12/10/2021,78,Extreme Greed
11/10/2021,71,Greed
10/10/2021,71,Greed
9/10/2021,72,Greed
8/10/2021,74,Greed
7/10/2021,76,Extreme Greed
6/10/2021,68,Greed
5/10/2021,59,Greed
4/10/2021,54,Neutral
3/10/2021,49,Neutral
2/10/2021,54,Neutral
1/10/2021,27,Fear
30/9/2021,20,Extreme Fear
29/9/2021,24,Extreme Fear
28/9/2021,25,Extreme Fear
27/9/2021,26,Fear
26/9/2021,27,Fear
25/9/2021,28,Fear
24/9/2021,33,Fear
23/9/2021,27,Fear
22/9/2021,21,Extreme Fear
21/9/2021,27,Fear
20/9/2021,50,Neutral
19/9/2021,53,Neutral
18/9/2021,50,Neutral
17/9/2021,48,Neutral
16/9/2021,53,Neutral
15/9/2021,49,Neutral
14/9/2021,30,Fear
13/9/2021,44,Fear
12/9/2021,32,Fear
11/9/2021,31,Fear
10/9/2021,46,Fear
9/9/2021,45,Fear
8/9/2021,47,Neutral
7/9/2021,79,Extreme Greed
6/9/2021,79,Extreme Greed
5/9/2021,73,Greed
4/9/2021,72,Greed
3/9/2021,74,Greed
2/9/2021,74,Greed
1/9/2021,71,Greed
31/8/2021,73,Greed
30/8/2021,73,Greed
29/8/2021,72,Greed
28/8/2021,78,Extreme Greed
27/8/2021,71,Greed
26/8/2021,75,Greed
25/8/2021,73,Greed
24/8/2021,79,Extreme Greed
23/8/2021,79,Extreme Greed
22/8/2021,76,Extreme Greed
21/8/2021,78,Extreme Greed
20/8/2021,70,Greed
19/8/2021,70,Greed
18/8/2021,73,Greed
17/8/2021,72,Greed
16/8/2021,72,Greed
15/8/2021,71,Greed
14/8/2021,76,Extreme Greed
13/8/2021,70,Greed
12/8/2021,70,Greed
11/8/2021,70,Greed
10/8/2021,71,Greed
9/8/2021,65,Greed
8/8/2021,74,Greed
7/8/2021,69,Greed
6/8/2021,52,Neutral
5/8/2021,50,Neutral
4/8/2021,42,Fear
3/8/2021,48,Neutral
2/8/2021,48,Neutral
1/8/2021,60,Greed
31/7/2021,60,Greed
30/7/2021,53,Neutral
29/7/2021,50,Neutral
28/7/2021,50,Neutral
27/7/2021,32,Fear
26/7/2021,26,Fear
25/7/2021,27,Fear
24/7/2021,22,Extreme Fear
23/7/2021,23,Extreme Fear
22/7/2021,21,Extreme Fear
21/7/2021,10,Extreme Fear
20/7/2021,19,Extreme Fear
19/7/2021,24,Extreme Fear
18/7/2021,19,Extreme Fear
17/7/2021,15,Extreme Fear
16/7/2021,22,Extreme Fear
15/7/2021,20,Extreme Fear
14/7/2021,21,Extreme Fear
13/7/2021,20,Extreme Fear
12/7/2021,25,Extreme Fear
11/7/2021,20,Extreme Fear
10/7/2021,20,Extreme Fear
9/7/2021,20,Extreme Fear
8/7/2021,20,Extreme Fear
7/7/2021,28,Fear
6/7/2021,20,Extreme Fear
5/7/2021,29,Fear
4/7/2021,27,Fear
3/7/2021,24,Extreme Fear
2/7/2021,21,Extreme Fear
1/7/2021,28,Fear
30/6/2021,28,Fear
29/6/2021,25,Extreme Fear
28/6/2021,25,Extreme Fear
27/6/2021,22,Extreme Fear
26/6/2021,20,Extreme Fear
25/6/2021,27,Fear
24/6/2021,22,Extreme Fear
23/6/2021,14,Extreme Fear
22/6/2021,10,Extreme Fear
21/6/2021,23,Extreme Fear
20/6/2021,21,Extreme Fear
19/6/2021,23,Extreme Fear
18/6/2021,25,Extreme Fear
17/6/2021,26,Fear
16/6/2021,33,Fear
15/6/2021,38,Fear
14/6/2021,28,Fear
13/6/2021,23,Extreme Fear
12/6/2021,28,Fear
11/6/2021,21,Extreme Fear
10/6/2021,21,Extreme Fear
9/6/2021,14,Extreme Fear
8/6/2021,13,Extreme Fear
7/6/2021,15,Extreme Fear
6/6/2021,17,Extreme Fear
5/6/2021,24,Extreme Fear
4/6/2021,27,Fear
3/6/2021,24,Extreme Fear
2/6/2021,23,Extreme Fear
1/6/2021,20,Extreme Fear
31/5/2021,18,Extreme Fear
30/5/2021,10,Extreme Fear
29/5/2021,18,Extreme Fear
28/5/2021,21,Extreme Fear
27/5/2021,27,Fear
26/5/2021,22,Extreme Fear
25/5/2021,22,Extreme Fear
24/5/2021,10,Extreme Fear
23/5/2021,14,Extreme Fear
22/5/2021,12,Extreme Fear
21/5/2021,19,Extreme Fear
20/5/2021,11,Extreme Fear
19/5/2021,23,Extreme Fear
18/5/2021,21,Extreme Fear
17/5/2021,27,Fear
16/5/2021,20,Extreme Fear
15/5/2021,27,Fear
14/5/2021,26,Fear
13/5/2021,31,Fear
12/5/2021,68,Greed
11/5/2021,61,Greed
10/5/2021,72,Greed
9/5/2021,73,Greed
8/5/2021,67,Greed
7/5/2021,64,Greed
6/5/2021,65,Greed
5/5/2021,48,Neutral
4/5/2021,68,Greed
3/5/2021,61,Greed
2/5/2021,66,Greed
1/5/2021,68,Greed
30/4/2021,51,Neutral
29/4/2021,52,Neutral
28/4/2021,59,Greed
27/4/2021,50,Neutral
26/4/2021,27,Fear
25/4/2021,31,Fear
24/4/2021,37,Fear
23/4/2021,55,Greed
22/4/2021,65,Greed
21/4/2021,73,Greed
20/4/2021,73,Greed
19/4/2021,74,Greed
18/4/2021,79,Extreme Greed
17/4/2021,76,Extreme Greed
16/4/2021,78,Extreme Greed
15/4/2021,79,Extreme Greed
14/4/2021,75,Greed
13/4/2021,74,Greed
12/4/2021,74,Greed
11/4/2021,76,Extreme Greed
10/4/2021,70,Greed
9/4/2021,70,Greed
8/4/2021,73,Greed
7/4/2021,72,Greed
6/4/2021,75,Greed
5/4/2021,71,Greed
4/4/2021,74,Greed
3/4/2021,73,Greed
2/4/2021,74,Greed
1/4/2021,74,Greed
31/3/2021,76,Extreme Greed
30/3/2021,72,Greed
29/3/2021,72,Greed
28/3/2021,74,Greed
27/3/2021,65,Greed
26/3/2021,54,Neutral
25/3/2021,60,Greed
24/3/2021,65,Greed
23/3/2021,66,Greed
22/3/2021,70,Greed
21/3/2021,73,Greed
20/3/2021,75,Greed
19/3/2021,71,Greed
18/3/2021,72,Greed
17/3/2021,71,Greed
16/3/2021,71,Greed
15/3/2021,76,Extreme Greed
14/3/2021,78,Extreme Greed
13/3/2021,74,Greed
12/3/2021,70,Greed
11/3/2021,73,Greed
10/3/2021,68,Greed
9/3/2021,81,Extreme Greed
8/3/2021,81,Extreme Greed
7/3/2021,76,Extreme Greed
6/3/2021,77,Extreme Greed
5/3/2021,77,Extreme Greed
4/3/2021,84,Extreme Greed
3/3/2021,78,Extreme Greed
2/3/2021,78,Extreme Greed
1/3/2021,38,Fear
28/2/2021,55,Greed
27/2/2021,56,Greed
26/2/2021,55,Greed
25/2/2021,79,Extreme Greed
24/2/2021,76,Extreme Greed
23/2/2021,94,Extreme Greed
22/2/2021,94,Extreme Greed
21/2/2021,91,Extreme Greed
20/2/2021,91,Extreme Greed
19/2/2021,93,Extreme Greed
18/2/2021,91,Extreme Greed
17/2/2021,95,Extreme Greed
16/2/2021,95,Extreme Greed
15/2/2021,93,Extreme Greed
14/2/2021,95,Extreme Greed
13/2/2021,92,Extreme Greed
12/2/2021,92,Extreme Greed
11/2/2021,93,Extreme Greed
10/2/2021,92,Extreme Greed
9/2/2021,95,Extreme Greed
8/2/2021,83,Extreme Greed
7/2/2021,86,Extreme Greed
6/2/2021,84,Extreme Greed
5/2/2021,81,Extreme Greed
4/2/2021,80,Extreme Greed
3/2/2021,78,Extreme Greed
2/2/2021,76,Extreme Greed
1/2/2021,77,Extreme Greed
31/1/2021,78,Extreme Greed
30/1/2021,76,Extreme Greed
29/1/2021,77,Extreme Greed
28/1/2021,55,Greed
27/1/2021,78,Extreme Greed
26/1/2021,71,Greed
25/1/2021,74,Greed
24/1/2021,70,Greed
23/1/2021,74,Greed
22/1/2021,40,Fear
21/1/2021,75,Greed
20/1/2021,78,Extreme Greed
19/1/2021,80,Extreme Greed
18/1/2021,79,Extreme Greed
17/1/2021,79,Extreme Greed
16/1/2021,84,Extreme Greed
15/1/2021,88,Extreme Greed
14/1/2021,83,Extreme Greed
13/1/2021,78,Extreme Greed
12/1/2021,84,Extreme Greed
11/1/2021,90,Extreme Greed
10/1/2021,94,Extreme Greed
9/1/2021,93,Extreme Greed
8/1/2021,93,Extreme Greed
7/1/2021,91,Extreme Greed
6/1/2021,95,Extreme Greed
5/1/2021,93,Extreme Greed
4/1/2021,94,Extreme Greed
3/1/2021,93,Extreme Greed
2/1/2021,94,Extreme Greed
1/1/2021,94,Extreme Greed
31/12/2020,95,Extreme Greed
30/12/2020,91,Extreme Greed
29/12/2020,91,Extreme Greed
28/12/2020,92,Extreme Greed
27/12/2020,91,Extreme Greed
26/12/2020,93,Extreme Greed
25/12/2020,94,Extreme Greed
24/12/2020,86,Extreme Greed
23/12/2020,93,Extreme Greed
22/12/2020,88,Extreme Greed
21/12/2020,92,Extreme Greed
20/12/2020,92,Extreme Greed
19/12/2020,93,Extreme Greed
18/12/2020,95,Extreme Greed
17/12/2020,92,Extreme Greed
16/12/2020,92,Extreme Greed
15/12/2020,91,Extreme Greed
14/12/2020,95,Extreme Greed
13/12/2020,91,Extreme Greed
12/12/2020,90,Extreme Greed
11/12/2020,89,Extreme Greed
10/12/2020,94,Extreme Greed
9/12/2020,86,Extreme Greed
8/12/2020,95,Extreme Greed
7/12/2020,94,Extreme Greed
6/12/2020,95,Extreme Greed
5/12/2020,93,Extreme Greed
4/12/2020,92,Extreme Greed
3/12/2020,92,Extreme Greed
2/12/2020,92,Extreme Greed
1/12/2020,95,Extreme Greed
30/11/2020,88,Extreme Greed
29/11/2020,89,Extreme Greed
28/11/2020,87,Extreme Greed
27/11/2020,86,Extreme Greed
26/11/2020,93,Extreme Greed
25/11/2020,94,Extreme Greed
24/11/2020,88,Extreme Greed
23/11/2020,90,Extreme Greed
22/11/2020,94,Extreme Greed
21/11/2020,91,Extreme Greed
20/11/2020,86,Extreme Greed
19/11/2020,94,Extreme Greed
18/11/2020,91,Extreme Greed
17/11/2020,86,Extreme Greed
16/11/2020,90,Extreme Greed
15/11/2020,86,Extreme Greed
14/11/2020,90,Extreme Greed
13/11/2020,89,Extreme Greed
12/11/2020,87,Extreme Greed
11/11/2020,86,Extreme Greed
10/11/2020,90,Extreme Greed
9/11/2020,90,Extreme Greed
8/11/2020,82,Extreme Greed
7/11/2020,88,Extreme Greed
6/11/2020,90,Extreme Greed
5/11/2020,72,Greed
4/11/2020,74,Greed
3/11/2020,71,Greed
2/11/2020,71,Greed
1/11/2020,72,Greed
31/10/2020,73,Greed
30/10/2020,74,Greed
29/10/2020,67,Greed
28/10/2020,70,Greed
27/10/2020,61,Greed
26/10/2020,75,Greed
25/10/2020,76,Extreme Greed
24/10/2020,73,Greed
23/10/2020,74,Greed
22/10/2020,73,Greed
21/10/2020,61,Greed
20/10/2020,56,Greed
19/10/2020,55,Greed
18/10/2020,55,Greed
17/10/2020,56,Greed
16/10/2020,52,Neutral
15/10/2020,56,Greed
14/10/2020,53,Neutral
13/10/2020,56,Greed
12/10/2020,52,Neutral
11/10/2020,55,Greed
10/10/2020,53,Neutral
9/10/2020,48,Neutral
8/10/2020,46,Fear
7/10/2020,43,Fear
6/10/2020,47,Neutral
5/10/2020,42,Fear
4/10/2020,42,Fear
3/10/2020,40,Fear
2/10/2020,41,Fear
1/10/2020,45,Fear
30/9/2020,49,Neutral
29/9/2020,45,Fear
28/9/2020,43,Fear
27/9/2020,47,Neutral
26/9/2020,45,Fear
25/9/2020,46,Fear
24/9/2020,39,Fear
23/9/2020,43,Fear
22/9/2020,39,Fear
21/9/2020,48,Neutral
20/9/2020,52,Neutral
19/9/2020,48,Neutral
18/9/2020,49,Neutral
17/9/2020,48,Neutral
16/9/2020,43,Fear
15/9/2020,47,Neutral
14/9/2020,39,Fear
13/9/2020,38,Fear
12/9/2020,41,Fear
11/9/2020,41,Fear
10/9/2020,38,Fear
9/9/2020,38,Fear
8/9/2020,41,Fear
7/9/2020,41,Fear
6/9/2020,41,Fear
5/9/2020,41,Fear
4/9/2020,40,Fear
3/9/2020,79,Extreme Greed
2/9/2020,83,Extreme Greed
1/9/2020,75,Greed
31/8/2020,75,Greed
30/8/2020,75,Greed
29/8/2020,79,Extreme Greed
28/8/2020,74,Greed
27/8/2020,75,Greed
26/8/2020,76,Extreme Greed
25/8/2020,75,Greed
24/8/2020,78,Extreme Greed
23/8/2020,76,Extreme Greed
22/8/2020,78,Extreme Greed
21/8/2020,81,Extreme Greed
20/8/2020,75,Greed
19/8/2020,80,Extreme Greed
18/8/2020,82,Extreme Greed
17/8/2020,83,Extreme Greed
16/8/2020,82,Extreme Greed
15/8/2020,79,Extreme Greed
14/8/2020,78,Extreme Greed
13/8/2020,75,Greed
12/8/2020,75,Greed
11/8/2020,84,Extreme Greed
10/8/2020,78,Extreme Greed
9/8/2020,79,Extreme Greed
8/8/2020,77,Extreme Greed
7/8/2020,77,Extreme Greed
6/8/2020,79,Extreme Greed
5/8/2020,75,Greed
4/8/2020,72,Greed
3/8/2020,75,Greed
2/8/2020,80,Extreme Greed
1/8/2020,75,Greed
31/7/2020,75,Greed
30/7/2020,76,Extreme Greed
29/7/2020,71,Greed
28/7/2020,76,Extreme Greed
27/7/2020,58,Greed
26/7/2020,55,Greed
25/7/2020,55,Greed
24/7/2020,53,Neutral
23/7/2020,55,Greed
22/7/2020,50,Neutral
21/7/2020,44,Fear
20/7/2020,44,Fear
19/7/2020,41,Fear
18/7/2020,44,Fear
17/7/2020,41,Fear
16/7/2020,43,Fear
15/7/2020,44,Fear
14/7/2020,43,Fear
13/7/2020,43,Fear
12/7/2020,41,Fear
11/7/2020,44,Fear
10/7/2020,41,Fear
9/7/2020,44,Fear
8/7/2020,44,Fear
7/7/2020,43,Fear
6/7/2020,40,Fear
5/7/2020,38,Fear
4/7/2020,40,Fear
3/7/2020,41,Fear
2/7/2020,42,Fear
1/7/2020,42,Fear
30/6/2020,44,Fear
29/6/2020,41,Fear
28/6/2020,40,Fear
27/6/2020,43,Fear
26/6/2020,40,Fear
25/6/2020,43,Fear
24/6/2020,50,Neutral
23/6/2020,41,Fear
22/6/2020,38,Fear
21/6/2020,37,Fear
