fng_date,fng_value,fng_classification
20/6/2020,38,Fear
19/6/2020,39,Fear
18/6/2020,40,Fear
17/6/2020,38,Fear
16/6/2020,39,Fear
15/6/2020,37,Fear
14/6/2020,40,Fear
13/6/2020,38,Fear
12/6/2020,38,Fear
11/6/2020,52,Neutral
10/6/2020,54,Neutral
9/6/2020,52,Neutral
8/6/2020,53,Neutral
7/6/2020,54,Neutral
6/6/2020,54,Neutral
5/6/2020,53,Neutral
4/6/2020,54,Neutral
3/6/2020,48,Neutral
2/6/2020,56,Greed
1/6/2020,50,Neutral
31/5/2020,51,Neutral
30/5/2020,48,Neutral
29/5/2020,48,Neutral
28/5/2020,41,Fear
27/5/2020,39,Fear
26/5/2020,39,Fear
25/5/2020,41,Fear
24/5/2020,43,Fear
23/5/2020,40,Fear
22/5/2020,42,Fear
21/5/2020,49,Neutral
20/5/2020,52,Neutral
19/5/2020,50,Neutral
18/5/2020,50,Neutral
17/5/2020,40,Fear
16/5/2020,41,Fear
15/5/2020,44,Fear
14/5/2020,40,Fear
13/5/2020,41,Fear
12/5/2020,39,Fear
11/5/2020,40,Fear
10/5/2020,48,Neutral
9/5/2020,56,Greed
8/5/2020,55,Greed
7/5/2020,49,Neutral
6/5/2020,42,Fear
5/5/2020,40,Fear
4/5/2020,44,Fear
3/5/2020,45,Fear
2/5/2020,40,Fear
1/5/2020,40,Fear
30/4/2020,44,Fear
29/4/2020,26,Fear
28/4/2020,26,Fear
27/4/2020,28,Fear
26/4/2020,21,Extreme Fear
25/4/2020,24,Extreme Fear
24/4/2020,20,Extreme Fear
23/4/2020,19,Extreme Fear
22/4/2020,19,Extreme Fear
21/4/2020,17,Extreme Fear
20/4/2020,15,Extreme Fear
19/4/2020,16,Extreme Fear
18/4/2020,18,Extreme Fear
17/4/2020,15,Extreme Fear
16/4/2020,13,Extreme Fear
15/4/2020,18,Extreme Fear
14/4/2020,15,Extreme Fear
13/4/2020,11,Extreme Fear
12/4/2020,10,Extreme Fear
11/4/2020,15,Extreme Fear
10/4/2020,15,Extreme Fear
9/4/2020,22,Extreme Fear
8/4/2020,21,Extreme Fear
7/4/2020,20,Extreme Fear
6/4/2020,12,Extreme Fear
5/4/2020,12,Extreme Fear
4/4/2020,12,Extreme Fear
3/4/2020,14,Extreme Fear
2/4/2020,14,Extreme Fear
1/4/2020,12,Extreme Fear
31/3/2020,12,Extreme Fear
30/3/2020,10,Extreme Fear
29/3/2020,12,Extreme Fear
28/3/2020,8,Extreme Fear
27/3/2020,12,Extreme Fear
26/3/2020,14,Extreme Fear
25/3/2020,13,Extreme Fear
24/3/2020,12,Extreme Fear
23/3/2020,10,Extreme Fear
22/3/2020,11,Extreme Fear
21/3/2020,9,Extreme Fear
20/3/2020,9,Extreme Fear
19/3/2020,12,Extreme Fear
18/3/2020,11,Extreme Fear
17/3/2020,8,Extreme Fear
16/3/2020,9,Extreme Fear
15/3/2020,12,Extreme Fear
14/3/2020,8,Extreme Fear
13/3/2020,10,Extreme Fear
12/3/2020,14,Extreme Fear
11/3/2020,17,Extreme Fear
10/3/2020,16,Extreme Fear
9/3/2020,17,Extreme Fear
8/3/2020,33,Fear
7/3/2020,38,Fear
6/3/2020,39,Fear
5/3/2020,41,Fear
4/3/2020,40,Fear
3/3/2020,38,Fear
2/3/2020,38,Fear
1/3/2020,39,Fear
29/2/2020,38,Fear
28/2/2020,40,Fear
27/2/2020,39,Fear
26/2/2020,41,Fear
25/2/2020,44,Fear
24/2/2020,46,Fear
23/2/2020,46,Fear
22/2/2020,43,Fear
21/2/2020,44,Fear
20/2/2020,44,Fear
19/2/2020,50,Neutral
18/2/2020,53,Neutral
17/2/2020,49,Neutral
16/2/2020,59,Greed
15/2/2020,64,Greed
14/2/2020,63,Greed
13/2/2020,65,Greed
12/2/2020,61,Greed
11/2/2020,52,Neutral
10/2/2020,57,Greed
9/2/2020,56,Greed
8/2/2020,56,Greed
7/2/2020,56,Greed
6/2/2020,61,Greed
5/2/2020,53,Neutral
4/2/2020,56,Greed
3/2/2020,59,Greed
2/2/2020,57,Greed
1/2/2020,57,Greed
31/1/2020,55,Greed
30/1/2020,57,Greed
29/1/2020,57,Greed
28/1/2020,54,Neutral
27/1/2020,50,Neutral
26/1/2020,42,Fear
25/1/2020,41,Fear
24/1/2020,40,Fear
23/1/2020,49,Neutral
22/1/2020,52,Neutral
21/1/2020,49,Neutral
20/1/2020,48,Neutral
19/1/2020,53,Neutral
18/1/2020,51,Neutral
17/1/2020,54,Neutral
16/1/2020,55,Greed
15/1/2020,54,Neutral
14/1/2020,56,Greed
13/1/2020,49,Neutral
12/1/2020,45,Fear
11/1/2020,50,Neutral
10/1/2020,41,Fear
9/1/2020,44,Fear
8/1/2020,51,Neutral
7/1/2020,40,Fear
6/1/2020,41,Fear
5/1/2020,39,Fear
4/1/2020,38,Fear
3/1/2020,38,Fear
2/1/2020,39,Fear
1/1/2020,37,Fear
31/12/2019,38,Fear
30/12/2019,40,Fear
29/12/2019,37,Fear
28/12/2019,37,Fear
27/12/2019,38,Fear
26/12/2019,39,Fear
25/12/2019,22,Extreme Fear
24/12/2019,25,Extreme Fear
23/12/2019,33,Fear
22/12/2019,20,Extreme Fear
21/12/2019,23,Extreme Fear
20/12/2019,23,Extreme Fear
19/12/2019,21,Extreme Fear
18/12/2019,15,Extreme Fear
17/12/2019,23,Extreme Fear
16/12/2019,24,Extreme Fear
15/12/2019,21,Extreme Fear
14/12/2019,27,Fear
13/12/2019,22,Extreme Fear
12/12/2019,23,Extreme Fear
11/12/2019,20,Extreme Fear
10/12/2019,26,Fear
9/12/2019,32,Fear
8/12/2019,28,Fear
7/12/2019,32,Fear
6/12/2019,29,Fear
5/12/2019,21,Extreme Fear
4/12/2019,24,Extreme Fear
3/12/2019,28,Fear
2/12/2019,28,Fear
1/12/2019,25,Extreme Fear
30/11/2019,38,Fear
29/11/2019,31,Fear
28/11/2019,32,Fear
27/11/2019,20,Extreme Fear
26/11/2019,21,Extreme Fear
25/11/2019,17,Extreme Fear
24/11/2019,21,Extreme Fear
23/11/2019,23,Extreme Fear
22/11/2019,20,Extreme Fear
21/11/2019,30,Fear
20/11/2019,32,Fear
19/11/2019,32,Fear
18/11/2019,38,Fear
17/11/2019,38,Fear
16/11/2019,41,Fear
15/11/2019,38,Fear
14/11/2019,41,Fear
13/11/2019,38,Fear
12/11/2019,39,Fear
11/11/2019,40,Fear
10/11/2019,39,Fear
9/11/2019,38,Fear
8/11/2019,42,Fear
7/11/2019,54,Neutral
6/11/2019,53,Neutral
5/11/2019,54,Neutral
4/11/2019,49,Neutral
3/11/2019,56,Greed
2/11/2019,51,Neutral
1/11/2019,49,Neutral
31/10/2019,50,Neutral
30/10/2019,53,Neutral
29/10/2019,54,Neutral
28/10/2019,52,Neutral
27/10/2019,50,Neutral
26/10/2019,53,Neutral
25/10/2019,24,Extreme Fear
24/10/2019,20,Extreme Fear
23/10/2019,33,Fear
22/10/2019,39,Fear
21/10/2019,37,Fear
20/10/2019,37,Fear
19/10/2019,41,Fear
18/10/2019,40,Fear
17/10/2019,40,Fear
16/10/2019,40,Fear
15/10/2019,39,Fear
14/10/2019,37,Fear
13/10/2019,38,Fear
12/10/2019,38,Fear
11/10/2019,39,Fear
10/10/2019,41,Fear
9/10/2019,37,Fear
8/10/2019,39,Fear
7/10/2019,27,Fear
6/10/2019,32,Fear
5/10/2019,31,Fear
4/10/2019,30,Fear
3/10/2019,37,Fear
2/10/2019,39,Fear
1/10/2019,38,Fear
30/9/2019,27,Fear
29/9/2019,33,Fear
28/9/2019,32,Fear
27/9/2019,24,Extreme Fear
26/9/2019,12,Extreme Fear
25/9/2019,15,Extreme Fear
24/9/2019,39,Fear
23/9/2019,41,Fear
22/9/2019,37,Fear
21/9/2019,37,Fear
20/9/2019,41,Fear
19/9/2019,31,Fear
18/9/2019,38,Fear
17/9/2019,41,Fear
16/9/2019,38,Fear
15/9/2019,38,Fear
14/9/2019,39,Fear
13/9/2019,38,Fear
12/9/2019,39,Fear
11/9/2019,38,Fear
10/9/2019,41,Fear
9/9/2019,41,Fear
8/9/2019,43,Fear
7/9/2019,39,Fear
6/9/2019,43,Fear
5/9/2019,41,Fear
4/9/2019,43,Fear
3/9/2019,41,Fear
2/9/2019,28,Fear
1/9/2019,24,Extreme Fear
31/8/2019,20,Extreme Fear
30/8/2019,24,Extreme Fear
29/8/2019,20,Extreme Fear
28/8/2019,32,Fear
27/8/2019,30,Fear
26/8/2019,41,Fear
25/8/2019,33,Fear
24/8/2019,39,Fear
23/8/2019,33,Fear
22/8/2019,5,Extreme Fear
21/8/2019,11,Extreme Fear
20/8/2019,39,Fear
19/8/2019,30,Fear
18/8/2019,14,Extreme Fear
17/8/2019,20,Extreme Fear
16/8/2019,31,Fear
15/8/2019,13,Extreme Fear
14/8/2019,11,Extreme Fear
13/8/2019,45,Fear
12/8/2019,48,Neutral
11/8/2019,45,Fear
10/8/2019,59,Greed
9/8/2019,60,Greed
8/8/2019,61,Greed
7/8/2019,45,Fear
6/8/2019,66,Greed
5/8/2019,64,Greed
4/8/2019,62,Greed
3/8/2019,61,Greed
2/8/2019,61,Greed
1/8/2019,57,Greed
31/7/2019,31,Fear
30/7/2019,22,Extreme Fear
29/7/2019,19,Extreme Fear
28/7/2019,16,Extreme Fear
27/7/2019,47,Neutral
26/7/2019,24,Extreme Fear
25/7/2019,42,Fear
24/7/2019,20,Extreme Fear
23/7/2019,40,Fear
22/7/2019,42,Fear
21/7/2019,42,Fear
20/7/2019,34,Fear
19/7/2019,42,Fear
18/7/2019,40,Fear
17/7/2019,19,Extreme Fear
16/7/2019,34,Fear
15/7/2019,16,Extreme Fear
14/7/2019,61,Greed
13/7/2019,65,Greed
12/7/2019,33,Fear
11/7/2019,62,Greed
10/7/2019,83,Extreme Greed
9/7/2019,84,Extreme Greed
8/7/2019,74,Greed
7/7/2019,67,Greed
6/7/2019,72,Greed
5/7/2019,67,Greed
4/7/2019,76,Extreme Greed
3/7/2019,79,Extreme Greed
2/7/2019,63,Greed
1/7/2019,65,Greed
30/6/2019,78,Extreme Greed
29/6/2019,74,Greed
28/6/2019,62,Greed
27/6/2019,92,Extreme Greed
26/6/2019,95,Extreme Greed
25/6/2019,87,Extreme Greed
24/6/2019,80,Extreme Greed
23/6/2019,84,Extreme Greed
22/6/2019,83,Extreme Greed
21/6/2019,84,Extreme Greed
20/6/2019,81,Extreme Greed
19/6/2019,82,Extreme Greed
18/6/2019,83,Extreme Greed
17/6/2019,84,Extreme Greed
16/6/2019,80,Extreme Greed
15/6/2019,75,Greed
14/6/2019,67,Greed
13/6/2019,63,Greed
12/6/2019,60,Greed
11/6/2019,61,Greed
10/6/2019,46,Fear
9/6/2019,62,Greed
8/6/2019,62,Greed
7/6/2019,27,Fear
6/6/2019,34,Fear
5/6/2019,27,Fear
4/6/2019,42,Fear
3/6/2019,66,Greed
2/6/2019,63,Greed
1/6/2019,62,Greed
31/5/2019,61,Greed
30/5/2019,73,Greed
29/5/2019,71,Greed
28/5/2019,71,Greed
27/5/2019,70,Greed
26/5/2019,67,Greed
25/5/2019,69,Greed
24/5/2019,64,Greed
23/5/2019,65,Greed
22/5/2019,69,Greed
21/5/2019,68,Greed
20/5/2019,73,Greed
19/5/2019,70,Greed
18/5/2019,67,Greed
17/5/2019,65,Greed
16/5/2019,75,Greed
15/5/2019,77,Extreme Greed
14/5/2019,78,Extreme Greed
13/5/2019,78,Extreme Greed
12/5/2019,75,Greed
11/5/2019,76,Extreme Greed
10/5/2019,71,Greed
9/5/2019,69,Greed
8/5/2019,63,Greed
7/5/2019,69,Greed
6/5/2019,57,Greed
5/5/2019,67,Greed
4/5/2019,66,Greed
3/5/2019,63,Greed
2/5/2019,50,Neutral
1/5/2019,51,Neutral
30/4/2019,42,Fear
29/4/2019,42,Fear
28/4/2019,40,Fear
27/4/2019,42,Fear
26/4/2019,41,Fear
25/4/2019,58,Greed
24/4/2019,65,Greed
23/4/2019,68,Greed
22/4/2019,61,Greed
21/4/2019,62,Greed
20/4/2019,62,Greed
19/4/2019,61,Greed
18/4/2019,64,Greed
17/4/2019,61,Greed
16/4/2019,50,Neutral
15/4/2019,60,Greed
14/4/2019,51,Neutral
13/4/2019,62,Greed
12/4/2019,42,Fear
11/4/2019,65,Greed
10/4/2019,62,Greed
9/4/2019,64,Greed
8/4/2019,65,Greed
7/4/2019,69,Greed
6/4/2019,65,Greed
5/4/2019,59,Greed
4/4/2019,61,Greed
3/4/2019,71,Greed
2/4/2019,60,Greed
1/4/2019,62,Greed
31/3/2019,56,Greed
30/3/2019,57,Greed
29/3/2019,50,Neutral
28/3/2019,49,Neutral
27/3/2019,44,Fear
26/3/2019,43,Fear
25/3/2019,46,Fear
24/3/2019,44,Fear
23/3/2019,50,Neutral
22/3/2019,56,Greed
21/3/2019,62,Greed
20/3/2019,55,Greed
19/3/2019,56,Greed
18/3/2019,56,Greed
17/3/2019,58,Greed
16/3/2019,54,Neutral
15/3/2019,55,Greed
14/3/2019,55,Greed
13/3/2019,54,Neutral
12/3/2019,56,Greed
11/3/2019,56,Greed
10/3/2019,55,Greed
9/3/2019,55,Greed
8/3/2019,54,Neutral
7/3/2019,56,Greed
6/3/2019,42,Fear
5/3/2019,35,Fear
4/3/2019,36,Fear
3/3/2019,44,Fear
2/3/2019,41,Fear
1/3/2019,42,Fear
28/2/2019,39,Fear
27/2/2019,39,Fear
26/2/2019,40,Fear
25/2/2019,47,Neutral
24/2/2019,69,Greed
23/2/2019,63,Greed
22/2/2019,61,Greed
21/2/2019,59,Greed
20/2/2019,59,Greed
19/2/2019,65,Greed
18/2/2019,63,Greed
17/2/2019,38,Fear
16/2/2019,43,Fear
15/2/2019,43,Fear
14/2/2019,48,Neutral
13/2/2019,48,Neutral
12/2/2019,38,Fear
11/2/2019,46,Fear
10/2/2019,40,Fear
9/2/2019,42,Fear
8/2/2019,37,Fear
7/2/2019,18,Extreme Fear
6/2/2019,14,Extreme Fear
5/2/2019,21,Extreme Fear
4/2/2019,27,Fear
3/2/2019,19,Extreme Fear
2/2/2019,22,Extreme Fear
1/2/2019,23,Extreme Fear
31/1/2019,17,Extreme Fear
30/1/2019,22,Extreme Fear
29/1/2019,21,Extreme Fear
28/1/2019,35,Fear
27/1/2019,39,Fear
26/1/2019,41,Fear
25/1/2019,35,Fear
24/1/2019,37,Fear
23/1/2019,33,Fear
22/1/2019,27,Fear
21/1/2019,30,Fear
20/1/2019,35,Fear
19/1/2019,31,Fear
18/1/2019,29,Fear
17/1/2019,28,Fear
16/1/2019,24,Extreme Fear
15/1/2019,27,Fear
14/1/2019,16,Extreme Fear
13/1/2019,21,Extreme Fear
12/1/2019,22,Extreme Fear
11/1/2019,19,Extreme Fear
10/1/2019,37,Fear
9/1/2019,42,Fear
8/1/2019,39,Fear
7/1/2019,39,Fear
6/1/2019,31,Fear
5/1/2019,36,Fear
4/1/2019,48,Neutral
3/1/2019,33,Fear
2/1/2019,30,Fear
1/1/2019,24,Extreme Fear
31/12/2018,26,Fear
30/12/2018,23,Extreme Fear
29/12/2018,24,Extreme Fear
28/12/2018,21,Extreme Fear
27/12/2018,29,Fear
26/12/2018,26,Fear
25/12/2018,33,Fear
24/12/2018,25,Extreme Fear
23/12/2018,31,Fear
22/12/2018,28,Fear
21/12/2018,35,Fear
20/12/2018,27,Fear
19/12/2018,21,Extreme Fear
18/12/2018,23,Extreme Fear
17/12/2018,17,Extreme Fear
16/12/2018,13,Extreme Fear
15/12/2018,11,Extreme Fear
14/12/2018,10,Extreme Fear
13/12/2018,14,Extreme Fear
12/12/2018,14,Extreme Fear
11/12/2018,15,Extreme Fear
10/12/2018,19,Extreme Fear
9/12/2018,14,Extreme Fear
8/12/2018,11,Extreme Fear
7/12/2018,11,Extreme Fear
6/12/2018,13,Extreme Fear
5/12/2018,19,Extreme Fear
4/12/2018,12,Extreme Fear
3/12/2018,17,Extreme Fear
2/12/2018,15,Extreme Fear
1/12/2018,13,Extreme Fear
30/11/2018,19,Extreme Fear
29/11/2018,18,Extreme Fear
28/11/2018,14,Extreme Fear
27/11/2018,11,Extreme Fear
26/11/2018,17,Extreme Fear
25/11/2018,9,Extreme Fear
24/11/2018,15,Extreme Fear
23/11/2018,12,Extreme Fear
22/11/2018,14,Extreme Fear
21/11/2018,15,Extreme Fear
20/11/2018,21,Extreme Fear
19/11/2018,28,Fear
18/11/2018,26,Fear
17/11/2018,24,Extreme Fear
16/11/2018,23,Extreme Fear
15/11/2018,28,Fear
14/11/2018,49,Neutral
13/11/2018,56,Greed
12/11/2018,52,Neutral
11/11/2018,54,Neutral
10/11/2018,52,Neutral
9/11/2018,47,Neutral
8/11/2018,51,Neutral
7/11/2018,48,Neutral
6/11/2018,42,Fear
5/11/2018,42,Fear
4/11/2018,41,Fear
3/11/2018,36,Fear
2/11/2018,36,Fear
1/11/2018,29,Fear
31/10/2018,32,Fear
30/10/2018,31,Fear
29/10/2018,34,Fear
28/10/2018,35,Fear
27/10/2018,33,Fear
26/10/2018,29,Fear
25/10/2018,25,Extreme Fear
24/10/2018,23,Extreme Fear
23/10/2018,24,Extreme Fear
22/10/2018,27,Fear
21/10/2018,21,Extreme Fear
20/10/2018,21,Extreme Fear
19/10/2018,24,Extreme Fear
18/10/2018,26,Fear
17/10/2018,23,Extreme Fear
16/10/2018,24,Extreme Fear
15/10/2018,20,Extreme Fear
14/10/2018,18,Extreme Fear
13/10/2018,15,Extreme Fear
12/10/2018,13,Extreme Fear
11/10/2018,19,Extreme Fear
10/10/2018,28,Fear
9/10/2018,31,Fear
8/10/2018,26,Fear
7/10/2018,29,Fear
6/10/2018,34,Fear
5/10/2018,37,Fear
4/10/2018,29,Fear
3/10/2018,36,Fear
2/10/2018,33,Fear
1/10/2018,35,Fear
30/9/2018,34,Fear
29/9/2018,37,Fear
28/9/2018,42,Fear
27/9/2018,42,Fear
26/9/2018,37,Fear
25/9/2018,37,Fear
24/9/2018,43,Fear
23/9/2018,38,Fear
22/9/2018,35,Fear
21/9/2018,31,Fear
20/9/2018,24,Extreme Fear
19/9/2018,24,Extreme Fear
18/9/2018,21,Extreme Fear
17/9/2018,25,Extreme Fear
16/9/2018,28,Fear
15/9/2018,24,Extreme Fear
14/9/2018,23,Extreme Fear
13/9/2018,20,Extreme Fear
12/9/2018,14,Extreme Fear
11/9/2018,18,Extreme Fear
10/9/2018,15,Extreme Fear
9/9/2018,13,Extreme Fear
8/9/2018,18,Extreme Fear
7/9/2018,17,Extreme Fear
6/9/2018,14,Extreme Fear
5/9/2018,17,Extreme Fear
4/9/2018,26,Fear
3/9/2018,19,Extreme Fear
2/9/2018,18,Extreme Fear
1/9/2018,21,Extreme Fear
31/8/2018,17,Extreme Fear
30/8/2018,22,Extreme Fear
29/8/2018,19,Extreme Fear
28/8/2018,19,Extreme Fear
27/8/2018,18,Extreme Fear
26/8/2018,19,Extreme Fear
25/8/2018,22,Extreme Fear
24/8/2018,19,Extreme Fear
23/8/2018,18,Extreme Fear
22/8/2018,21,Extreme Fear
21/8/2018,19,Extreme Fear
20/8/2018,26,Fear
19/8/2018,27,Fear
18/8/2018,24,Extreme Fear
17/8/2018,19,Extreme Fear
16/8/2018,21,Extreme Fear
15/8/2018,18,Extreme Fear
14/8/2018,16,Extreme Fear
13/8/2018,21,Extreme Fear
12/8/2018,18,Extreme Fear
11/8/2018,18,Extreme Fear
10/8/2018,21,Extreme Fear
9/8/2018,19,Extreme Fear
8/8/2018,23,Extreme Fear
7/8/2018,25,Extreme Fear
6/8/2018,25,Extreme Fear
5/8/2018,23,Extreme Fear
4/8/2018,31,Fear
3/8/2018,36,Fear
2/8/2018,39,Fear
1/8/2018,39,Fear
31/7/2018,48,Neutral
30/7/2018,53,Neutral
29/7/2018,54,Neutral
28/7/2018,54,Neutral
27/7/2018,47,Neutral
26/7/2018,53,Neutral
25/7/2018,54,Neutral
24/7/2018,49,Neutral
23/7/2018,44,Fear
22/7/2018,46,Fear
21/7/2018,43,Fear
20/7/2018,47,Neutral
19/7/2018,44,Fear
18/7/2018,42,Fear
17/7/2018,39,Fear
16/7/2018,36,Fear
15/7/2018,32,Fear
14/7/2018,29,Fear
13/7/2018,29,Fear
12/7/2018,33,Fear
11/7/2018,29,Fear
10/7/2018,37,Fear
9/7/2018,39,Fear
8/7/2018,38,Fear
7/7/2018,34,Fear
6/7/2018,34,Fear
5/7/2018,37,Fear
4/7/2018,33,Fear
3/7/2018,31,Fear
2/7/2018,27,Fear
1/7/2018,27,Fear
30/6/2018,22,Extreme Fear
29/6/2018,16,Extreme Fear
28/6/2018,20,Extreme Fear
27/6/2018,18,Extreme Fear
26/6/2018,21,Extreme Fear
25/6/2018,16,Extreme Fear
24/6/2018,15,Extreme Fear
23/6/2018,17,Extreme Fear
22/6/2018,28,Fear
21/6/2018,37,Fear
20/6/2018,34,Fear
19/6/2018,32,Fear
18/6/2018,27,Fear
17/6/2018,23,Extreme Fear
16/6/2018,22,Extreme Fear
15/6/2018,26,Fear
14/6/2018,17,Extreme Fear
13/6/2018,19,Extreme Fear
12/6/2018,19,Extreme Fear
11/6/2018,15,Extreme Fear
10/6/2018,24,Extreme Fear
9/6/2018,39,Fear
8/6/2018,40,Fear
7/6/2018,38,Fear
6/6/2018,42,Fear
5/6/2018,26,Fear
4/6/2018,41,Fear
3/6/2018,40,Fear
2/6/2018,27,Fear
1/6/2018,24,Extreme Fear
31/5/2018,25,Extreme Fear
30/5/2018,38,Fear
29/5/2018,16,Extreme Fear
28/5/2018,22,Extreme Fear
27/5/2018,19,Extreme Fear
26/5/2018,23,Extreme Fear
25/5/2018,25,Extreme Fear
24/5/2018,27,Fear
23/5/2018,26,Fear
22/5/2018,30,Fear
21/5/2018,41,Fear
20/5/2018,32,Fear
19/5/2018,31,Fear
18/5/2018,37,Fear
17/5/2018,31,Fear
16/5/2018,32,Fear
15/5/2018,40,Fear
14/5/2018,40,Fear
13/5/2018,40,Fear
12/5/2018,44,Fear
11/5/2018,41,Fear
10/5/2018,63,Greed
9/5/2018,53,Neutral
8/5/2018,62,Greed
7/5/2018,56,Greed
6/5/2018,67,Greed
5/5/2018,63,Greed
4/5/2018,56,Greed
3/5/2018,55,Greed
2/5/2018,52,Neutral
1/5/2018,56,Greed
30/4/2018,59,Greed
29/4/2018,61,Greed
28/4/2018,54,Neutral
27/4/2018,55,Greed
26/4/2018,47,Neutral
25/4/2018,64,Greed
24/4/2018,29,Fear
23/4/2018,28,Fear
22/4/2018,31,Fear
21/4/2018,32,Fear
20/4/2018,26,Fear
19/4/2018,25,Extreme Fear
18/4/2018,24,Extreme Fear
17/4/2018,26,Fear
13/4/2018,23,Extreme Fear
12/4/2018,18,Extreme Fear
11/4/2018,20,Extreme Fear
10/4/2018,18,Extreme Fear
9/4/2018,21,Extreme Fear
8/4/2018,17,Extreme Fear
7/4/2018,20,Extreme Fear
6/4/2018,19,Extreme Fear
5/4/2018,17,Extreme Fear
4/4/2018,22,Extreme Fear
3/4/2018,22,Extreme Fear
2/4/2018,11,Extreme Fear
1/4/2018,16,Extreme Fear
31/3/2018,16,Extreme Fear
30/3/2018,12,Extreme Fear
29/3/2018,18,Extreme Fear
28/3/2018,24,Extreme Fear
27/3/2018,24,Extreme Fear
26/3/2018,31,Fear
25/3/2018,30,Fear
24/3/2018,32,Fear
23/3/2018,28,Fear
22/3/2018,36,Fear
21/3/2018,36,Fear
20/3/2018,37,Fear
19/3/2018,29,Fear
18/3/2018,29,Fear
17/3/2018,31,Fear
16/3/2018,33,Fear
15/3/2018,32,Fear
14/3/2018,40,Fear
13/3/2018,41,Fear
12/3/2018,41,Fear
11/3/2018,40,Fear
10/3/2018,39,Fear
9/3/2018,37,Fear
8/3/2018,39,Fear
7/3/2018,37,Fear
6/3/2018,59,Greed
5/3/2018,55,Greed
4/3/2018,44,Fear
3/3/2018,56,Greed
2/3/2018,47,Neutral
1/3/2018,38,Fear
28/2/2018,41,Fear
27/2/2018,44,Fear
26/2/2018,37,Fear
25/2/2018,33,Fear
24/2/2018,31,Fear
23/2/2018,39,Fear
22/2/2018,44,Fear
21/2/2018,54,Neutral
20/2/2018,74,Greed
19/2/2018,67,Greed
18/2/2018,63,Greed
17/2/2018,74,Greed
16/2/2018,67,Greed
15/2/2018,71,Greed
14/2/2018,55,Greed
13/2/2018,35,Fear
12/2/2018,42,Fear
11/2/2018,31,Fear
10/2/2018,54,Neutral
9/2/2018,44,Fear
8/2/2018,30,Fear
7/2/2018,36,Fear
6/2/2018,8,Extreme Fear
5/2/2018,11,Extreme Fear
4/2/2018,24,Extreme Fear
3/2/2018,40,Fear
2/2/2018,15,Extreme Fear
1/2/2018,30,Fear
